time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637798400,1.33298,1.33444,1.33281,1.33441,-9.982913353923345e+307,NaN,NaN,-9.982913353923345e+307,NaN,NaN,-9.982913353923345e+307,NaN,NaN,-9.982913353923345e+307,NaN,NaN
1637802000,1.33441,1.33441,1.33344,1.33363,1.1564149922643623e+308,8.287885513883915e+307,1.1564149922643623e+308,NaN,NaN,NaN,1.1564149922643623e+308,8.287885513883915e+307,1.1564149922643623e+308,NaN,NaN,NaN
1637805600,1.33363,1.33435,1.3333599999999999,1.33423,NaN,-6.495132902645674e+307,NaN,NaN,NaN,NaN,NaN,-6.495132902645674e+307,NaN,NaN,NaN,NaN
1637809200,1.33423,1.33524,1.33417,1.3348,-8.172962532714776e+307,9.753680833529065e+307,NaN,NaN,NaN,NaN,-8.172962532714776e+307,9.753680833529065e+307,NaN,NaN,NaN,NaN
1637812800,1.3348,1.33486,1.33453,1.33464,6.40506891286066e+307,-1.1298608277734613e+308,6.40506891286066e+307,NaN,NaN,NaN,6.40506891286066e+307,-1.1298608277734613e+308,6.40506891286066e+307,NaN,NaN,NaN
1637816400,1.33464,1.33481,1.33411,1.33443,-9.618432575468105e+307,1.434290474622983e+308,NaN,-9.618432575468105e+307,NaN,NaN,-9.618432575468105e+307,1.434290474622983e+308,NaN,-9.618432575468105e+307,NaN,NaN
1637820000,1.33443,1.33512,1.33441,1.3347,1.1141937466565181e+308,NaN,1.1141937466565181e+308,NaN,NaN,NaN,1.1141937466565181e+308,NaN,1.1141937466565181e+308,NaN,NaN,NaN
1637823600,1.3347,1.33516,1.33428,1.3349199999999999,-1.414402055926798e+308,-9.527395710209628e+307,NaN,-1.414402055926798e+308,NaN,NaN,-1.414402055926798e+308,-9.527395710209628e+307,NaN,-1.414402055926798e+308,NaN,NaN
1637827200,1.3349199999999999,1.33535,1.33382,1.33382,NaN,7.466524634087091e+307,NaN,NaN,NaN,NaN,NaN,7.466524634087091e+307,NaN,NaN,NaN,NaN
1637830800,1.33382,1.33432,1.3328,1.33339,9.395285207963773e+307,-1.1212410786375668e+308,NaN,NaN,NaN,NaN,9.395285207963773e+307,-1.1212410786375668e+308,NaN,NaN,NaN,NaN
1637834400,1.33339,1.33377,1.33166,1.33182,-7.362990956107992e+307,1.2988392739776388e+308,NaN,-7.362990956107992e+307,NaN,NaN,-7.362990956107992e+307,1.2988392739776388e+308,NaN,-7.362990956107992e+307,NaN,NaN
1637838000,1.33182,1.33286,1.33155,1.33232,1.105693522249334e+308,NaN,1.105693522249334e+308,NaN,NaN,NaN,1.105693522249334e+308,NaN,1.105693522249334e+308,NaN,NaN,NaN
